date,id,YOLL1,YOLL2,YOLL3,humrel,meantemp,maxtemp,mintemp,o3,year,month,week,YLL,month_mean,yll_total,HW,HW_lag1,HW_lag2,HW_lag3,o3_lag1,o3_lag2,o3_lag3,HW_lag0_2,no2,no2_lag1,no2_lag2,no2_lag3,total_death
6/4/1990,4,1203.03,587.43,1131.58,68.1,12.88,18.3,5.9,15.4167,1,1,1,2922.04,19.30185,2922.04,0,0,0,0,33.33333,41.66667,34.16667,0,34.72344,50.5875,60.23906,53.13906,43
6/5/1990,5,1083.3,681.55,857.12,56.3,10.35,14.8,5,14.5833,1,1,1,2621.97,19.30185,2621.97,0,0,0,0,15.41667,33.33333,41.66667,0,33.5475,34.72344,50.5875,60.23906,39
6/18/1990,18,1639.82,720.75,670.78,73.3,23.63,27.3,20.8,32.9167,1,1,3,3031.35,19.30185,3031.35,0,0,0,0,32.91667,32.08333,30.95238,0,34.50156,31.39531,45.2625,56.07891,43
6/20/1990,20,844.46,574.87,604.62,75.5,15.05,18.2,12.5,6.66667,1,1,3,2023.95,19.30185,2023.95,0,0,0,0,15.83333,32.91667,32.91667,0,20.60543,20.30156,34.50156,31.39531,29
6/21/1990,21,879.05,500.09,801.97,80.8,16.54,18.3,14.6,0.833333,1,1,3,2181.11,19.30185,2181.11,0,0,0,0,6.666667,15.83333,32.91667,0,30.50781,20.60543,20.30156,34.50156,32
6/22/1990,22,1395.61,596.12,752.08,74.5,20.68,25.4,15.1,20,1,1,4,2743.81,19.30185,2743.81,0,0,0,0,0.8333333,6.666667,15.83333,0,44.04219,30.50781,20.60543,20.30156,38
6/23/1990,23,1130.76,621.67,783.54,79.8,20.3,24,17.1,29.5833,1,1,4,2535.97,19.30185,2535.97,0,0,0,0,20,0.8333333,6.666667,0,37.82969,44.04219,30.50781,20.60543,37
6/24/1990,24,1047.91,776.31,559.11,75.7,18.5,20.8,16.3,24.5833,1,1,4,2383.33,19.30185,2383.33,0,0,0,0,29.58333,20,0.8333333,0,27.06875,37.82969,44.04219,30.50781,33
6/25/1990,25,1092.94,796.82,881.15,79.5,18.11,22.4,14.9,15.4167,1,1,4,2770.91,19.30185,2770.91,0,0,0,0,24.58333,29.58333,20,0,19.96875,27.06875,37.82969,44.04219,42
6/26/1990,26,1336.15,621.76,664.51,60.5,21.21,26.5,15.1,31.25,1,1,4,2622.42,19.30185,2622.42,0,0,0,0,15.41667,24.58333,29.58333,0,37.60781,19.96875,27.06875,37.82969,37
6/27/1990,27,1239.53,925.75,848.06,65.9,19.32,22.8,14.1,27.9167,1,1,4,3013.34,19.30185,3013.34,0,0,0,0,31.25,15.41667,24.58333,0,32.61562,37.60781,19.96875,27.06875,45
